epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4656,1.88735,3.01043,1.37674,0.68619,0.15921,0.33878,0.20102,1.49652,3.13807,1.13004,0.000298338,0.000298338,0.000298338
2,43.1538,1.57037,1.73928,1.196,0.72801,0.49396,0.56588,0.35179,1.47528,1.91197,1.19609,0.000595385,0.000595385,0.000595385
3,57.4352,1.512,1.51864,1.18882,0.81167,0.51823,0.61499,0.39108,1.45918,1.30049,1.18527,0.000886433,0.000886433,0.000886433
4,71.4182,1.49885,1.41533,1.17706,0.80025,0.51142,0.64091,0.39106,1.51498,1.14431,1.24823,0.000882003,0.000882003,0.000882003
5,85.3398,1.48091,1.2937,1.16293,0.80619,0.6225,0.69684,0.44561,1.44222,1.06243,1.19545,0.000873004,0.000873004,0.000873004
6,99.5604,1.47798,1.25981,1.16581,0.77077,0.67373,0.73626,0.46863,1.41414,0.97723,1.16896,0.000864004,0.000864004,0.000864004
7,114.42,1.44009,1.17622,1.13975,0.75363,0.61481,0.69668,0.41784,1.48652,1.05951,1.20139,0.000855005,0.000855005,0.000855005
8,129.281,1.42691,1.13457,1.14012,0.78466,0.65476,0.71438,0.45417,1.40922,0.9457,1.18073,0.000846006,0.000846006,0.000846006
9,144.916,1.41198,1.09551,1.14153,0.80128,0.65176,0.73468,0.46042,1.48698,1.01633,1.22061,0.000837007,0.000837007,0.000837007
10,160.452,1.37347,1.03883,1.1296,0.71085,0.72351,0.7554,0.48507,1.42007,0.98135,1.18892,0.000828008,0.000828008,0.000828008
11,175.919,1.38941,1.02703,1.12669,0.74996,0.72196,0.789,0.46774,1.54954,1.01053,1.24238,0.000819009,0.000819009,0.000819009
12,191.618,1.36889,0.97844,1.11391,0.72688,0.77371,0.79884,0.49561,1.40675,0.89009,1.18262,0.00081001,0.00081001,0.00081001
13,207.692,1.34883,0.95921,1.11204,0.83065,0.74428,0.80648,0.48809,1.43566,0.94962,1.18559,0.000801011,0.000801011,0.000801011
14,224.78,1.33622,0.95078,1.11273,0.72209,0.72427,0.78169,0.47548,1.43798,0.95051,1.19383,0.000792012,0.000792012,0.000792012
15,242.421,1.32829,0.93189,1.10768,0.77495,0.73903,0.79571,0.49818,1.40918,0.87513,1.16579,0.000783013,0.000783013,0.000783013
16,259.397,1.33673,0.9224,1.11093,0.8225,0.65305,0.78062,0.48559,1.45758,0.90663,1.20613,0.000774013,0.000774013,0.000774013
